tag,count,sources,datasetRoles
dog allergy,1,keywords|userTags,public
dog biscuit,1,userTags,collaborative_support
dog breed,1,userTags,public
dog breeder,1,userTags,public
dog carrying a severed hand,1,userTags,collaborative_support
dog collar,1,userTags,public
dog dirt,1,keywords|userTags,public
dog driving car,1,userTags,collaborative_support
dog eating human,1,userTags,collaborative_support
dog fight,1,userTags,public
dog food,1,userTags,collaborative_support
dog gets killed,1,userTags,collaborative_support
dog hero,1,keywords,collaborative_support
dog humping someone's leg,1,userTags,public
dog killed by a truck,1,userTags,collaborative_support
dog lives,1,userTags,public
dog man friendship,1,keywords,collaborative_support
dog missing,1,userTags,public
dog on roller skates,1,userTags,collaborative_support
dog owner,1,keywords,collaborative_support
dog poo,1,userTags,collaborative_support
dog psychiatrist,1,userTags,public
dog salon,1,userTags,collaborative_support
dog skeleton,1,userTags,collaborative_support
dog sled team,1,userTags,public
dog suicide,1,userTags,collaborative_support
dog survives,1,userTags,public
dog tags,1,userTags,collaborative_support
dog toy,1,userTags,public
dog urination,1,userTags,public
dog watches tv,1,userTags,collaborative_support
dog wearing clothing,1,userTags,collaborative_support
dogcatcher,1,userTags,public
dogfights,1,userTags,public
doggy style sex,1,userTags,collaborative_support
doggystyle,1,keywords|userTags,collaborative_support
doggystyle sex,1,userTags,collaborative_support
dogma95,1,userTags,collaborative_support
dognapping,1,userTags,public
dogs perspective,1,userTags,public
dogs playing poker,1,userTags,public
dogwalker,1,keywords,public
doing laundry,1,userTags,collaborative_support
dojang,1,userTags,public
dole,1,userTags,public
doll factory,1,keywords|userTags,collaborative_support
doll making,1,userTags,collaborative_support
doll sex,1,userTags,collaborative_support
dollmaker,1,keywords|userTags,public
dolly carte opera company,1,userTags,collaborative_support
dome,1,keywords|userTags,public
domenico d'ippolito,1,userTags,public
domestic care,1,keywords,collaborative_support
domestic dispute,1,keywords,collaborative_support
domestic drama,1,userTags,collaborative_support
domestic horror,1,userTags,collaborative_support
domestic life,1,userTags,public
domestic warfare,1,userTags,collaborative_support
domestication,1,userTags,collaborative_support
domestice abuse,1,userTags,collaborative_support
dominance submissiveness,1,keywords|userTags,public
domination doesn't always require more intelligence just better guns,1,userTags,collaborative_support
domineering father,1,keywords,collaborative_support
domineering woman,1,userTags,public
dominic monaghan,1,userTags,collaborative_support
dominic purcell,1,userTags,collaborative_support
dominic toretto,1,userTags,collaborative_support
dominican,1,userTags,public
dominik garcia-lorido,1,userTags,collaborative_support
dominique horwitz,1,userTags,collaborative_support
domremy la pucelle france,1,userTags,collaborative_support
don argott,1,userTags,collaborative_support
don johnson,1,userTags,collaborative_support
don mckellar,1,userTags,collaborative_support
don't care about characters,1,userTags,public
don't eat while watching,1,userTags,collaborative_support
don't get dead,1,userTags,collaborative_support
don't like superhero movies but i liked this,1,userTags,public
don't like toby though,1,userTags,public
don't really remember,1,userTags,collaborative_support
don't try this at home,1,userTags,collaborative_support
don't want to see,1,userTags,collaborative_support
don't waste your time,1,userTags,public
don't watch,1,userTags,public
don't watch extended version,1,userTags,collaborative_support
don't watch it again,1,userTags,public
don't you love it when it's at least done pretty well?,1,userTags,public
donal logue,1,userTags,collaborative_support
donald duck character,1,userTags,collaborative_support
donald faison,1,userTags,collaborative_support
donald pleasence,1,userTags,collaborative_support
done before,1,userTags,collaborative_support
donnie darko,1,userTags,collaborative_support
donnie wahlberg,1,userTags,collaborative_support
donnie whalberg,1,userTags,collaborative_support
donor baby,1,userTags,public
dont watch,1,userTags,collaborative_support
donut shop,1,keywords|userTags,collaborative_support
donuts,1,userTags,public
doo wop,1,keywords|userTags,collaborative_support
doofus,1,userTags,collaborative_support
doohickey,1,userTags,public
doom metal,1,userTags,collaborative_support
doomed romance,1,keywords,collaborative_support
doomsday clock,1,keywords,collaborative_support
