tag,count,sources,datasetRoles
spirit,28,keywords|userTags,collaborative_support|public
strippers,28,userTags,collaborative_support|public
success,28,keywords|userTags,collaborative_support|public
the weinstein company,28,userTags,collaborative_support|public
the white house,28,keywords|userTags,collaborative_support|public
uma thurman,28,userTags,collaborative_support|public
want to see again,28,userTags,collaborative_support|public
02/11,27,userTags,collaborative_support|public
11/10,27,userTags,collaborative_support|public
_moodwishlist,27,userTags,collaborative_support|public
abusive husband,27,keywords|userTags,collaborative_support|public
alarm,27,keywords|userTags,collaborative_support|public
alienation,27,keywords|userTags,collaborative_support|public
american dream,27,keywords|userTags,collaborative_support|public
amy adams,27,userTags,collaborative_support|public
animal in title,27,userTags,collaborative_support|public
apartment building,27,keywords|userTags,collaborative_support|public
art house,27,keywords|userTags,collaborative_support
assault rifle,27,keywords|userTags,collaborative_support|public
athlete,27,keywords|userTags,collaborative_support|public
bad,27,userTags,collaborative_support|public
based on cartoon,27,keywords|userTags,collaborative_support|public
based on real person,27,keywords|userTags,collaborative_support|public
black american,27,keywords|userTags,collaborative_support|public
brett northcutt,27,userTags,collaborative_support|public
bride,27,keywords|userTags,collaborative_support|public
cameos,27,userTags,collaborative_support|public
caper,27,keywords|userTags,collaborative_support|public
comedy need to see,27,userTags,collaborative_support|public
costume drama,27,keywords|userTags,collaborative_support|public
date,27,keywords|userTags,collaborative_support|public
diary,27,keywords|userTags,collaborative_support|public
drowning,27,keywords|userTags,collaborative_support|public
editing,27,userTags,collaborative_support|public
erotic thriller,27,keywords|userTags,collaborative_support
factual,27,keywords|userTags,collaborative_support|public
funny moments,27,userTags,collaborative_support|public
giant monster,27,keywords|userTags,collaborative_support|public
guilty pleasure,27,userTags,collaborative_support|public
harrison ford,27,userTags,collaborative_support|public
hawaii,27,keywords|userTags,collaborative_support|public
honor,27,keywords|userTags,collaborative_support|public
jackie chan,27,userTags,collaborative_support|public
john cusack,27,userTags,collaborative_support|public
killing,27,keywords|userTags,collaborative_support|public
legend,27,keywords|userTags,collaborative_support|public
leonardo dicaprio,27,userTags,collaborative_support|public
love at first sight,27,keywords|userTags,collaborative_support|public
mel gibson,27,userTags,collaborative_support|public
minnesota,27,keywords|userTags,collaborative_support|public
"new orleans, louisiana",27,keywords,collaborative_support|public
nihilism,27,keywords|userTags,collaborative_support|public
nonlinear timeline,27,keywords|userTags,collaborative_support|public
office,27,keywords|userTags,collaborative_support|public
poison,27,keywords|userTags,collaborative_support|public
pop culture,27,keywords|userTags,collaborative_support|public
private school,27,keywords|userTags,collaborative_support|public
profanity,27,userTags,collaborative_support|public
retirement,27,keywords|userTags,collaborative_support|public
samurai,27,keywords|userTags,collaborative_support|public
scandal,27,keywords|userTags,collaborative_support|public
seattle,27,userTags,collaborative_support|public
seth rogen,27,userTags,collaborative_support|public
shark,27,keywords|userTags,collaborative_support|public
show business,27,keywords|userTags,collaborative_support|public
taxi driver,27,keywords|userTags,collaborative_support|public
terrorist,27,userTags,collaborative_support
transgender,27,keywords|userTags,collaborative_support|public
urban gothic,27,keywords|userTags,collaborative_support
us president,27,userTags,collaborative_support|public
woody allen,27,userTags,collaborative_support|public
100 essential female performances,26,userTags,collaborative_support
80s,26,keywords|userTags,collaborative_support|public
9/11,26,keywords|userTags,collaborative_support|public
abandoned house,26,keywords|userTags,collaborative_support|public
accidental killing,26,keywords|userTags,collaborative_support|public
adapted from:play,26,userTags,collaborative_support|public
alternate history,26,keywords|userTags,collaborative_support|public
anne hathaway,26,userTags,collaborative_support|public
ballet,26,keywords|userTags,collaborative_support|public
becoming an adult,26,keywords|userTags,collaborative_support|public
birth,26,keywords|userTags,collaborative_support|public
bromance,26,keywords|userTags,collaborative_support|public
chainsaw,26,keywords|userTags,collaborative_support|public
chess,26,keywords|userTags,collaborative_support|public
circus,26,keywords|userTags,collaborative_support|public
city,26,keywords|userTags,collaborative_support|public
class,26,keywords|userTags,collaborative_support|public
co-workers relationship,26,keywords,collaborative_support|public
colorado,26,keywords|userTags,collaborative_support|public
darkness,26,keywords|userTags,collaborative_support|public
denmark,26,keywords|userTags,collaborative_support|public
destruction,26,keywords|userTags,collaborative_support|public
dinosaurs,26,userTags,collaborative_support|public
direction,26,userTags,collaborative_support|public
edward norton,26,userTags,collaborative_support|public
emma thompson,26,userTags,collaborative_support|public
exorcism,26,keywords|userTags,collaborative_support|public
experimental,26,keywords|userTags,collaborative_support|public
farmer,26,keywords|userTags,collaborative_support|public
great dialogue,26,userTags,collaborative_support|public
hotel room,26,keywords|userTags,collaborative_support|public
imax dmr,26,userTags,collaborative_support|public
imax dmr 3-d,26,userTags,collaborative_support|public
immigration,26,keywords|userTags,collaborative_support|public
impostor,26,keywords|userTags,collaborative_support|public
joseph gordon-levitt,26,userTags,collaborative_support|public
kingdom,26,keywords|userTags,collaborative_support|public
lovers,26,keywords|userTags,collaborative_support|public
mark ruffalo,26,userTags,collaborative_support|public
motherhood,26,keywords|userTags,collaborative_support|public
murderer,26,keywords|userTags,collaborative_support
mutation,26,keywords|userTags,collaborative_support|public
nanny,26,keywords|userTags,collaborative_support|public
new zealand,26,keywords|userTags,collaborative_support|public
optimistic,26,keywords|userTags,collaborative_support|public
"philadelphia, pennsylvania",26,keywords|userTags,collaborative_support|public
poetic,26,keywords|userTags,collaborative_support|public
poor plot,26,userTags,collaborative_support|public
post apocalypse,26,userTags,collaborative_support|public
prophecy,26,keywords|userTags,collaborative_support|public
quest,26,keywords|userTags,collaborative_support|public
reese witherspoon,26,userTags,collaborative_support|public
"seattle, washington",26,keywords,collaborative_support|public
secret love,26,keywords|userTags,collaborative_support|public
self sacrifice,26,keywords|userTags,collaborative_support|public
shallow,26,userTags,collaborative_support|public
sign languages,26,keywords|userTags,collaborative_support|public
soldiers,26,keywords|userTags,collaborative_support|public
suburb,26,keywords|userTags,collaborative_support|public
super villain,26,keywords|userTags,collaborative_support|public
sword and sorcery,26,keywords|userTags,collaborative_support|public
teen comedy,26,keywords|userTags,collaborative_support|public
traitor,26,keywords|userTags,collaborative_support|public
uncle,26,keywords|userTags,collaborative_support|public
unlikely friendships,26,userTags,collaborative_support|public
unusual,26,userTags,collaborative_support|public
uplifting,26,keywords|userTags,collaborative_support|public
vietnam,26,keywords|userTags,collaborative_support|public
war veteran,26,keywords|userTags,collaborative_support|public
water,26,keywords|userTags,collaborative_support|public
werewolves,26,userTags,collaborative_support|public
08/10,25,userTags,collaborative_support|public
absurdist,25,keywords|userTags,collaborative_support|public
action comedy,25,keywords|userTags,collaborative_support|public
actor playing multiple roles,25,userTags,collaborative_support|public
alarm clock,25,keywords|userTags,collaborative_support|public
alternate dimension,25,keywords|userTags,collaborative_support|public
anarchy,25,keywords|userTags,collaborative_support|public
antonio banderas,25,userTags,collaborative_support|public
arnold schwarzenegger,25,userTags,collaborative_support|public
attic,25,keywords|userTags,collaborative_support|public
bad adaptation,25,userTags,collaborative_support|public
balloon,25,keywords|userTags,collaborative_support|public
beautiful cinematography,25,userTags,collaborative_support|public
black,25,userTags,collaborative_support|public
bradley cooper,25,userTags,collaborative_support|public
brainwashing,25,keywords|userTags,collaborative_support|public
britain,25,keywords|userTags,collaborative_support|public
candle,25,keywords|userTags,collaborative_support|public
censorship,25,keywords|userTags,collaborative_support|public
child kidnapping,25,keywords|userTags,collaborative_support|public
choreography,25,keywords|userTags,collaborative_support|public
clint eastwood,25,userTags,collaborative_support|public
clone,25,keywords|userTags,collaborative_support|public
corporation,25,keywords|userTags,collaborative_support|public
culture,25,keywords|userTags,collaborative_support|public
danger,25,userTags,collaborative_support|public
death of mother,25,keywords|userTags,collaborative_support|public
deliberate,25,userTags,collaborative_support|public
delusion,25,keywords|userTags,collaborative_support|public
detroit,25,userTags,collaborative_support|public
divorcee,25,keywords|userTags,collaborative_support|public
domestic abuse,25,keywords|userTags,collaborative_support|public
don cheadle,25,userTags,collaborative_support|public
dubious,25,keywords,collaborative_support|public
fake documentary,25,keywords|userTags,collaborative_support|public
farcical,25,keywords|userTags,collaborative_support|public
grand,25,keywords|userTags,collaborative_support|public
grandparent grandchild relationship,25,keywords|userTags,collaborative_support|public
grieving,25,keywords|userTags,collaborative_support|public
heart attack,25,keywords|userTags,collaborative_support|public
historical drama,25,keywords|userTags,collaborative_support|public
hugh jackman,25,userTags,collaborative_support|public
implausible,25,userTags,collaborative_support|public
italian,25,keywords|userTags,collaborative_support|public
kate winslet,25,userTags,collaborative_support|public
kevin bacon,25,userTags,collaborative_support|public
lying,25,keywords|userTags,collaborative_support|public
"madrid, spain",25,keywords,collaborative_support|public
