tag,count,sources,datasetRoles
calling someone a communist,1,userTags,collaborative_support
calling someone a devil,1,userTags,collaborative_support
calling someone a fascist,1,userTags,collaborative_support
calling someone a loser,1,userTags,collaborative_support
calling someone a sissy,1,userTags,collaborative_support
calling someone an asshole,1,userTags,collaborative_support
calm intelligent pace,1,userTags,collaborative_support
calories,1,userTags,collaborative_support
cam,1,keywords,collaborative_support
camaradarie,1,userTags,collaborative_support
cambridge analitica,1,userTags,collaborative_support
cambridge ma,1,userTags,collaborative_support
cambridge massachusetts,1,keywords|userTags,collaborative_support
camels,1,userTags,public
cameo appearences,1,userTags,collaborative_support
cameo: hugh jackman,1,userTags,public
cameo: john waters,1,userTags,public
cameo:judy dench,1,userTags,public
cameo:keith richards,1,userTags,public
cameo:martin scorsese,1,userTags,collaborative_support
cameo:tom hanks,1,userTags,public
camera focus on a female butt,1,userTags,collaborative_support
camera focus on cleavage,1,userTags,public
camera footage,1,userTags,collaborative_support
camera phone,1,userTags,collaborative_support
camera shot between a woman's legs,1,userTags,collaborative_support
camera shot betwen a woman's legs,1,userTags,collaborative_support
camera shot from inside a refrigerator,1,userTags,collaborative_support
camera shot from inside mouth,1,userTags,collaborative_support
camera shot of a man's bare feet,1,userTags,collaborative_support
camera shot of a woman's feet in heeled boots,1,userTags,public
camera shot of dinosaur foot,1,userTags,public
camera-motion-sickness,1,userTags,collaborative_support
cameraderie,1,userTags,public
cameron diaz getting older,1,userTags,collaborative_support
camgirl,1,userTags,collaborative_support
camilla belle,1,userTags,collaborative_support
camino,1,userTags,public
camino de santiago,1,keywords,public
camouflage,1,userTags,collaborative_support
camouflage shirt,1,userTags,collaborative_support
camp bloodbath,1,keywords|userTags,collaborative_support
camp classic,1,keywords,collaborative_support
camp david,1,userTags,collaborative_support
camp was shut down,1,userTags,public
campaign bus,1,userTags,collaborative_support
campaign documentary,1,userTags,collaborative_support
campaign finance,1,keywords|userTags,collaborative_support
campaign speech,1,keywords|userTags,collaborative_support
campanella,1,userTags,collaborative_support
camper van,1,userTags,collaborative_support
campground,1,userTags,collaborative_support
camping trailer,1,userTags,public
campus security,1,userTags,collaborative_support
campus shooting,1,userTags,collaborative_support
can,1,userTags,public
can be a playlist,1,userTags,public
can opener,1,userTags,collaborative_support
can see 100 times no bore at all,1,userTags,collaborative_support
can you dislike these people after all,1,userTags,collaborative_support
can't define genre,1,userTags,collaborative_support
can't ever rate it - cuz i can't ever watch the whole thing,1,userTags,collaborative_support
can't explain,1,userTags,collaborative_support
can't get past the first 20 min,1,userTags,collaborative_support
can't identify with hero,1,userTags,collaborative_support
can't root for the charcters,1,userTags,public
can't see shit,1,userTags,collaborative_support
canadian coin,1,userTags,collaborative_support
canadian flag,1,userTags,collaborative_support
canadian french,1,userTags,public
canadian horror,1,userTags,collaborative_support
canadian humor,1,userTags,collaborative_support
canal boat,1,userTags,collaborative_support
canal+,1,userTags,collaborative_support
canary islands,1,userTags,collaborative_support
canberra,1,keywords,collaborative_support
cancer survivor,1,keywords|userTags,collaborative_support
cancer treatment,1,keywords|userTags,public
cancun mexico,1,userTags,public
cancún,1,userTags,collaborative_support
"cancún, mexico",1,keywords,collaborative_support
candid sex,1,userTags,collaborative_support
candle wax,1,userTags,collaborative_support
candles,1,userTags,public
candles in bedroom,1,userTags,collaborative_support
candy bar,1,keywords,public
candy hog,1,userTags,collaborative_support
candy machine,1,userTags,collaborative_support
candy store,1,userTags,collaborative_support
cane corso dog,1,userTags,collaborative_support
canibalism,1,userTags,public
cannabis use,1,userTags,collaborative_support
"cannes, france",1,keywords,collaborative_support
cannes: camera d'or,1,userTags,collaborative_support
cannibalism; uncomfortable; crime; serial killer;,1,userTags,collaborative_support
cannon fire,1,userTags,collaborative_support
canoe trip,1,keywords|userTags,collaborative_support
canon camera,1,userTags,collaborative_support
canteen,1,userTags,public
cantina,1,userTags,collaborative_support
canton,1,keywords,collaborative_support
cap,1,userTags,collaborative_support
cape breton,1,keywords,collaborative_support
cape the garment,1,userTags,collaborative_support
cape town south africa,1,userTags,collaborative_support
"cape town, south africa",1,keywords,collaborative_support
caper crime,1,userTags,collaborative_support
caperucita roja,1,userTags,public
capital police,1,userTags,collaborative_support
capitalism is the villain,1,userTags,collaborative_support
capitol hill,1,userTags,collaborative_support
capitol police,1,keywords,collaborative_support
capitol system,1,userTags,collaborative_support
capitulation,1,keywords,collaborative_support
cappadocia,1,userTags,collaborative_support
capsize,1,userTags,collaborative_support
captain america character,1,userTags,collaborative_support
captain boomerang character,1,userTags,collaborative_support
captain hammer,1,userTags,collaborative_support
captain hook costume,1,userTags,collaborative_support
captain kirk,1,userTags,public
captain marvel,1,userTags,collaborative_support
captain marvel a.k.a. shazam character,1,userTags,collaborative_support
captain nemo,1,keywords|userTags,public
captain watch top pick,1,userTags,collaborative_support
captain zoom character,1,userTags,public
captcha,1,userTags,public
captive bolt gun,1,keywords,collaborative_support
captive woman,1,userTags,collaborative_support
captor,1,userTags,collaborative_support
capuchin monkey,1,userTags,public
capulet character,1,userTags,public
car accident survivor,1,keywords,collaborative_support
